DATE,VIX,SKEW,SPY,RUT
5/15/90,19.49,125.1,354.28,163.850006
5/16/90,17.71,125.7,354,163.660004
5/17/90,17.27,121.95,354.47,163.869995
5/18/90,17.2,124.68,354.64,164.910004
5/21/90,16.72,127.35,358,165.429993
5/22/90,17.84,124.88,358.43,166.649994
5/23/90,17.18,118.8,359.29,167.220001
5/24/90,17.7,117.3,358.41,167.809998
5/25/90,17.32,111.93,354.58,168.050003
5/29/90,18.75,122.18,360.65,167.300003
5/30/90,17.44,119.88,360.86,168.199997
5/31/90,17.37,120.21,361.23,168.679993
6/1/90,17.09,119.33,363.16,168.910004
6/4/90,18.39,122.78,367.4,169.710007
6/5/90,18.97,121.22,366.64,170.630005
6/6/90,17.42,121.45,364.96,170.229996
6/7/90,16.88,123.99,363.15,169.899994
6/8/90,17.58,122.13,358.71,169.800003
6/11/90,16.34,132.14,361.63,168.929993
6/12/90,16.6,132.61,366.25,169.089996
6/13/90,17.38,131.51,364.9,170.029999
6/14/90,17.4,132.45,362.9,170.869995
6/15/90,15.9,138.31,362.91,170.630005
6/18/90,17.71,133.31,356.88,170.899994
6/19/90,15.23,136.21,358.47,168.729996
6/20/90,15.27,139.12,359.1,168.369995
6/21/90,14.72,142.57,360.47,168.210007
6/22/90,19.36,139.62,355.43,168.440002
6/25/90,17.06,106.8,352.31,168
6/26/90,16.29,104.65,352.06,167.130005
6/27/90,16,106.54,355.14,166.880005
6/28/90,16.18,107.42,357.63,167.240005
6/29/90,15.5,107.31,358.02,168.399994
7/2/90,16.26,108.16,359.54,169.119995
7/3/90,16.11,107.62,360.16,169
7/5/90,17.25,105.08,355.68,168.940002
7/6/90,16.41,107.27,358.42,168.009995
7/9/90,16.66,106.5,359.52,168.199997
7/10/90,16.92,105.19,356.49,168.119995
7/11/90,16.68,107.84,361.23,167.679993
7/12/90,17.06,109.71,365.44,168.669998
7/13/90,17.09,109.33,367.31,169.429993
7/16/90,16.75,108.65,368.95,170.059998
7/17/90,16.66,107.65,367.52,170.029999
7/18/90,18.9,133.75,364.22,168.889999
7/19/90,18.56,137.94,365.32,167.860001
7/20/90,15.63,109.71,361.61,167.039993
7/23/90,23.68,127.13,355.31,166.820007
7/24/90,21.79,127.61,355.79,162.889999
7/25/90,20.19,130.85,357.09,163.25
7/26/90,20.26,131,355.91,163.690002
7/27/90,21.12,127.62,353.44,164.080002
7/30/90,21.16,132.44,355.55,163.169998
7/31/90,21.11,132.07,356.15,161.949997
8/1/90,21.64,131.01,355.52,161.5
8/2/90,20.43,110.08,351.48,160.779999
8/3/90,28.74,119.6,344.86,158.600006
8/6/90,35.91,114.65,334.43,154.350006
8/7/90,32.75,119.09,334.83,149.020004
8/8/90,28.27,125.19,338.35,149.210007
8/9/90,24.39,128.9,339.94,151.119995
8/10/90,25.75,123.01,335.52,152.529999
8/13/90,25.74,119.34,338.84,150.839996
8/14/90,24.18,120.52,339.39,150.410004
8/15/90,23.31,120.04,340.06,151.149994
8/16/90,27.16,117.18,332.39,151.309998
8/17/90,27.53,117.36,327.83,148.470001
8/20/90,26.46,118.36,328.51,145.639999
8/21/90,28.9,114.52,321.86,144.160004
8/22/90,30.55,112.49,316.55,140.789993
8/23/90,36.47,110.92,307.06,138.990005
8/24/90,33.93,113.42,311.51,132.899994
8/27/90,29.63,117.69,321.44,134.210007
8/28/90,29.12,117.9,321.34,138.669998
8/29/90,27.38,118.63,324.19,139.559998
8/30/90,29.89,116.74,318.71,140.050003
8/31/90,29.9,119.48,322.56,139.309998
9/4/90,29.58,119.92,323.09,139.5
9/5/90,28.52,119.88,324.39,139.110001
9/6/90,30.19,116.98,320.46,140.020004
9/7/90,28.73,117.82,323.4,139.350006
9/10/90,29.34,118.77,321.63,140.110001
9/11/90,28.38,119.16,321.04,140.320007
9/12/90,28.12,118.28,322.54,139.789993
9/13/90,29.33,116.91,318.65,139.880005
9/14/90,30.56,119.03,316.83,138.710007
9/17/90,29.55,116.8,317.77,137.889999
9/18/90,28.82,117.49,318.6,137.479996
9/19/90,27.88,116.48,316.6,136.899994
9/20/90,28.66,115.88,311.48,136.779999
9/21/90,30.04,118.22,311.32,134.699997
9/24/90,30.56,111.3,304.59,133.75
9/25/90,28.81,115.72,308.26,130.389999
9/26/90,28.19,114.76,305.06,130.520004
9/27/90,28.67,112.85,300.97,128.660004
9/28/90,29.11,113.24,306.05,126.169998
10/1/90,28.06,116.56,314.94,126.739998
10/2/90,27.28,116.81,315.21,128.410004
10/3/90,27.9,115.6,311.4,129.070007
10/4/90,27.51,116.16,312.69,128.070007
10/5/90,27.85,117.23,311.5,127.699997
10/8/90,28.04,116.49,313.48,126.830002
10/9/90,30.71,112.8,305.1,126.919998
10/10/90,31.19,110.65,300.39,124.339996
10/11/90,33.98,109.78,295.46,122.779999
10/12/90,31.94,111.92,300.03,120.019997
10/15/90,31.64,112.35,303.23,120.379997
10/16/90,31.45,111.07,298.92,120.43
10/17/90,31.37,111.74,298.76,119.32
10/18/90,29.6,114.65,305.74,119.489998
10/19/90,27.86,117.56,312.48,120.959999
10/22/90,27.27,116.11,314.76,122.110001
10/23/90,27.57,115.13,312.36,121.610001
10/24/90,28.28,116.17,312.6,122.279999
10/25/90,29.04,114.75,310.17,122.260002
10/26/90,30.75,111.79,304.71,122.389999
10/29/90,31.54,112.35,301.88,120.860001
10/30/90,30.52,113.42,304.06,119.68
10/31/90,30.04,113.97,304,118.82
11/1/90,30.25,112.53,307.02,118.849998
11/2/90,30.03,115.29,311.85,118.910004
11/5/90,29.85,114.48,314.59,120.349998
11/6/90,29.11,114.47,311.62,121.279999
11/7/90,30.87,114.59,306.01,121.309998
11/8/90,30.79,114.66,307.61,120.360001
11/9/90,26.96,117.11,313.74,120.160004
11/12/90,25.6,115.57,319.48,121.300003
11/13/90,24.58,116.1,317.67,123.220001
11/14/90,22.89,117.02,320.4,123.639999
11/15/90,22.57,116.97,317.02,124.739998
11/16/90,21.34,119.97,317.12,124.309998
11/19/90,20.95,121.28,319.34,124.269997
11/20/90,20.09,118.28,315.31,124.730003
11/21/90,21.09,119.28,316.03,124.139999
11/23/90,20.98,116.37,315.1,124.040001
11/26/90,22.76,118.33,316.51,124.260002
11/27/90,22.86,119.45,318.1,123.989998
11/28/90,22.96,120.15,317.95,125.25
11/29/90,23.91,117.71,316.42,126
11/30/90,22.16,122.65,322.22,126.110001
12/3/90,22.29,122.24,324.1,127.5
12/4/90,22.03,124.37,326.35,128.160004
12/5/90,20.94,127.38,329.92,128.720001
12/6/90,22.62,126.31,329.07,130.710007
12/7/90,22.59,124.43,327.75,131.130005
12/10/90,23.58,125.1,328.89,130.940002
12/11/90,23.75,125.98,326.44,130.690002
12/12/90,21.28,128.57,330.19,129.850006
12/13/90,23.05,122.57,329.34,130.570007
12/14/90,23.85,122.14,326.82,130.940002
12/17/90,24.85,120.45,326.02,130.169998
12/18/90,23.11,123.99,330.05,129.130005
12/19/90,23.08,126.31,330.2,129.949997
12/20/90,23.13,122.35,330.12,130.570007
12/21/90,22.66,129.61,331.75,130.720001
12/24/90,24.03,121.29,329.9,130.860001
12/26/90,24.18,127.3,330.85,130.460007
12/27/90,24.81,124.79,328.29,130.759995
12/28/90,25.05,127.59,328.72,130.610001
12/31/90,26.38,126.57,330.22,130.440002
1/2/91,26.62,121.35,326.45,132.190002
1/3/91,27.93,122.76,321.91,131.639999
1/4/91,27.19,121.95,321,130.350006
1/7/91,28.95,118.12,315.44,130.199997
1/8/91,30.38,116.76,314.9,128.190002
1/9/91,33.3,114.26,311.49,127.57
1/10/91,31.33,117.28,314.53,126.720001
1/11/91,32.63,114.58,315.23,127.559998
1/14/91,36.2,112.38,312.49,127.599998
1/15/91,36.16,112.71,313.73,125.379997
1/16/91,33.2,115.85,316.17,125.260002
1/17/91,27.45,121.72,327.97,126.809998
1/18/91,25.39,125.61,332.23,130.240005
1/21/91,24.33,122.41,331.06,129.830002
1/22/91,24.9,117.94,328.31,130.350006
1/23/91,23.92,118.15,330.21,131.080002
1/24/91,22.86,121.9,334.78,132.630005
1/25/91,22.2,124.2,336.07,135.050003
1/28/91,23.05,122.91,336.03,136.470001
1/29/91,23.17,122.53,335.84,137.809998
1/30/91,21.37,127.44,340.91,139.229996
1/31/91,20.91,121.65,343.93,142.039993
2/1/91,21.04,121.25,343.05,144.149994
2/4/91,21.86,123.21,348.34,145.490005
2/5/91,21.46,123.92,351.26,148.169998
2/6/91,22.68,121.1,358.07,150.190002
2/7/91,23.6,121.24,356.52,152.289993
2/8/91,23.38,121.05,359.35,151.080002
2/11/91,22.56,121.53,368.58,151.699997
2/12/91,22.26,121.19,365.5,154.169998
2/13/91,20.86,123.69,369.02,154.220001
2/14/91,21.48,120.58,364.22,155.899994
2/15/91,19.57,118.94,369.06,155.320007
2/19/91,19.84,112.38,369.39,156.830002
2/20/91,22.26,114.96,365.14,156.759995
2/21/91,20.78,113.82,364.97,155.460007
2/22/91,21.01,114.92,365.65,156.360001
2/25/91,22.86,114.76,367.26,157.419998
2/26/91,20.38,108.57,362.81,158.429993
2/27/91,21.26,117.38,367.74,157.139999
2/28/91,21.23,116.37,367.07,158.419998
3/1/91,,116.36,370.47,160
3/4/91,20.86,117.93,369.33,161.25
3/5/91,20.45,122.89,376.72,163.490005
3/6/91,20.55,119.4,376.17,166.779999
3/7/91,21.05,118.56,375.91,167.039993
3/8/91,20.81,118.51,374.95,167.649994
3/11/91,20.88,123.92,372.96,167.970001
3/12/91,18.82,125.66,370.03,166.470001
3/13/91,16.09,131.94,374.57,164.869995
3/14/91,14.94,101.79,373.5,166.080002
3/15/91,14.9,102.73,373.59,166.210007
3/18/91,15.79,103.53,372.11,165.360001
3/19/91,16.11,101.23,366.59,165.380005
3/20/91,16.04,102.81,367.92,164.080002
3/21/91,16.86,101.31,366.58,165.509995
3/22/91,16.49,103.4,367.48,165.770004
3/25/91,16.76,104.07,369.83,165.809998
3/26/91,16.31,106.65,376.3,166.729996
3/27/91,16.55,103.53,375.35,168.630005
3/28/91,16.88,105.67,375.22,169.830002
4/1/91,17.42,105.75,371.3,171.020004
4/2/91,17.4,109.35,379.5,170.309998
4/3/91,17.61,108.82,378.94,172.619995
4/4/91,18.01,109.35,379.77,173.740005
4/5/91,17.63,108.51,375.36,174.520004
4/8/91,17.41,104.12,378.66,173.889999
4/9/91,20.12,109.05,373.56,174.029999
4/10/91,19.73,109.56,373.15,173.110001
4/11/91,17.24,105.74,377.63,173.139999
4/12/91,18.45,116.64,380.4,174.789993
4/15/91,16.5,118.66,381.19,175.789993
4/16/91,15.82,122.71,387.62,175.75
4/17/91,15.47,123.42,390.45,177.309998
4/18/91,16.26,106.57,388.46,178.699997
4/19/91,15.68,105.7,384.2,177.570007
4/22/91,16.78,105.82,380.95,176.440002
4/23/91,17.02,106.68,381.76,173.699997
4/24/91,16.72,107.09,382.76,174.029999
4/25/91,17.15,107.9,379.25,175.009995
4/26/91,17.27,108.51,379.02,174.589996
4/29/91,18.27,108.57,373.66,173.839996
4/30/91,18.24,109.06,375.34,172.039993
5/1/91,17.77,110.9,380.29,170.589996
5/2/91,17.52,111.43,380.52,172.199997
5/3/91,17.24,110.58,380.8,173.660004
5/6/91,17.92,112.86,380.08,173.970001
5/7/91,17.46,111.53,377.32,173.770004
5/8/91,17.78,113.96,378.51,173.949997
5/9/91,17.17,114.01,383.25,174.589996
5/10/91,17.54,113.66,375.74,175.789993
5/13/91,17.66,117.42,376.76,174.279999
5/14/91,18,115.69,371.62,174.369995
5/15/91,18.38,116.98,368.57,172.600006
5/16/91,17.24,117.07,372.19,169.490005
5/17/91,16.64,117.32,372.39,170.710007
5/20/91,17.1,116.42,372.28,170.619995
5/21/91,16.07,116.61,375.35,170.369995
5/22/91,16.16,116.29,376.19,171.449997
5/23/91,16.11,115.98,374.96,171.820007
5/24/91,15.23,116.19,377.49,172.410004
5/28/91,15.67,122.33,381.94,173.210007
5/29/91,15.9,120.96,382.79,174.309998
5/30/91,16.02,116.11,386.96,175.169998
5/31/91,15.93,117.2,389.83,176.820007
6/3/91,16.87,115.62,388.06,178.330002
6/4/91,16.17,114.51,387.74,178.539993
6/5/91,16.4,111.76,385.09,178.550003
6/6/91,16.93,112.28,383.63,178.509995
6/7/91,16.98,113.52,379.43,178.399994
6/10/91,17.47,112.37,378.57,177.169998
6/11/91,17.32,113.45,381.05,176.570007
6/12/91,17.72,115.11,376.65,176.630005
6/13/91,16.99,116.36,377.63,174.649994
6/14/91,15.98,121.08,382.29,174.710007
6/17/91,15.5,116.07,380.13,175.589996
6/18/91,16.14,116.71,378.59,175.270004
6/19/91,17.44,118.7,375.09,174.669998
6/20/91,16.75,119.72,375.42,172.949997
6/21/91,16.51,124.86,377.75,172.520004
6/24/91,18.28,115.96,370.94,172.460007
6/25/91,17.85,117,370.65,169.279999
6/26/91,17.98,116.36,371.59,168.279999
6/27/91,17.87,118.29,374.4,167.619995
6/28/91,19.55,114.98,371.16,168.229996
7/1/91,18.64,112.49,377.92,167.619995
7/2/91,17.63,112.56,377.47,168.479996
7/3/91,19.47,110.56,373.33,168.210007
7/5/91,18.35,118.18,374.08,167.050003
7/8/91,20.29,120.97,377.94,167
7/9/91,19.76,113.87,376.11,167.470001
7/10/91,19.19,113.36,375.74,168.130005
7/11/91,17.39,116.53,376.97,169.039993
7/12/91,18.29,119.14,380.25,169.039993
7/15/91,17.78,122.07,382.39,170.039993
7/16/91,17.49,119.81,381.54,171.089996
7/17/91,17.52,119.25,381.18,171.119995
7/18/91,15.77,121.07,385.37,171.300003
7/19/91,15.5,123.06,384.22,172.289993
7/22/91,16.9,123.02,382.88,172.869995
7/23/91,16.58,120.08,379.42,172.440002
7/24/91,16.41,110.45,378.64,171.229996
7/25/91,15.74,111.61,380.96,170.169998
7/26/91,15.45,111.76,380.93,170.570007
7/29/91,15.67,114.3,383.15,170.660004
7/30/91,15.47,112.31,386.69,170.669998
7/31/91,15.18,111.5,387.81,171.550003
8/1/91,15.47,107.71,387.12,172.759995
8/2/91,15.26,109.76,387.18,172.75
8/5/91,15.92,109.02,385.06,173.050003
8/6/91,15.54,108.92,390.62,172.5
8/7/91,15.56,109.92,390.56,172.929993
8/8/91,15.98,109.62,389.32,173.050003
8/9/91,15.45,108.84,387.12,173.199997
8/12/91,15.26,109.6,388.02,173.320007
8/13/91,14.73,111.26,389.62,173.559998
8/14/91,15.09,110.7,389.9,174.429993
8/15/91,15.19,110.86,389.33,174.860001
8/16/91,16.01,112.48,385.58,174.720001
8/19/91,21.19,119.37,376.47,174.070007
8/20/91,18.86,117.23,379.43,169.169998
8/21/91,15.62,114.03,390.59,170.729996
8/22/91,14.59,110.41,391.33,174.970001
8/23/91,14.41,111.17,394.17,175.539993
8/26/91,14.81,112.74,393.85,176.210007
8/27/91,15.46,113.32,393.06,176.570007
8/28/91,15.31,114.6,396.64,176.759995
8/29/91,14.82,114.69,396.47,178.210007
8/30/91,14.46,115.36,395.43,178.529999
9/3/91,16.57,114.62,392.15,179.089996
9/4/91,17.18,114.14,389.97,177.970001
9/5/91,17.31,114.61,389.14,177.350006
9/6/91,16.76,114.5,389.1,177.339996
9/9/91,17.73,114.78,388.57,177.460007
9/10/91,18.22,114.59,384.56,177.470001
9/11/91,17.96,114.72,385.09,175.710007
9/12/91,16.21,115.24,387.34,176.080002
9/13/91,17.88,115.25,383.59,177.039993
9/16/91,17.82,109.18,385.78,176.759995
9/17/91,17.68,116.36,385.5,176.429993
9/18/91,17.56,117.85,386.94,176.259995
9/19/91,17.56,107.99,387.56,176.899994
9/20/91,17.08,120.99,387.92,178.229996
9/23/91,16.38,108.5,385.92,179.320007
9/24/91,16.04,109.78,387.71,178.800003
9/25/91,15.68,110.82,386.88,179.050003
9/26/91,15.35,108.89,386.49,178.979996
9/27/91,16.31,108.36,385.9,179.130005
9/30/91,15.85,112.13,387.86,178.690002
10/1/91,14.81,112.65,389.2,180.149994
10/2/91,15.81,111.58,388.26,180.100006
10/3/91,17.04,105.71,384.47,179.800003
10/4/91,15.63,103.93,381.25,178.210007
10/7/91,18.58,109.8,379.5,178
10/8/91,17.81,111.17,380.67,176.669998
10/9/91,18.54,109.44,376.8,177.080002
10/10/91,17.8,103.82,380.55,176.270004
10/11/91,17.6,104.66,381.45,176.440002
10/14/91,16.71,107.26,386.47,176.979996
10/15/91,16.22,106.99,391.01,178.479996
10/16/91,14.85,106.17,392.8,180.600006
10/17/91,16.32,107.81,391.92,182.850006
10/18/91,15.87,110.28,392.5,182.820007
10/21/91,16.66,108.97,390.02,183.419998
10/22/91,16.55,107.68,387.83,182.979996
10/23/91,16.26,108.42,387.94,183.020004
10/24/91,15.62,107,385.07,182.960007
10/25/91,15.75,107.45,384.2,180.869995
10/28/91,15.45,107.96,389.52,179.940002
10/29/91,15.55,109.14,391.48,180.740005
10/30/91,15.46,110.2,392.96,181.889999
10/31/91,15.48,109.63,392.45,183.360001
11/1/91,15.6,110.19,391.32,184.970001
11/4/91,16.35,110.87,390.28,184.630005
11/5/91,16.48,110.11,388.71,183.850006
11/6/91,16.47,110.91,389.97,183.970001
11/7/91,15.97,110.4,393.72,184.350006
11/8/91,15.43,110.37,392.89,185.789993
11/11/91,14.89,109.45,393.12,186.300003
11/12/91,14.04,109.91,396.74,186.789993
11/13/91,13.95,109.81,397.41,188.009995
11/14/91,13.96,110.23,397.15,188.020004
11/15/91,21.18,114.77,382.62,187.830002
11/18/91,18.28,116.46,385.24,181.720001
11/19/91,20.34,119.79,379.42,181.639999
11/20/91,20.4,115.57,378.53,177.550003
11/21/91,19.11,114.38,380.06,178.130005
11/22/91,21.2,111.76,376.14,178.770004
11/25/91,21.92,115.37,375.34,177.360001
11/26/91,19.8,117.42,377.96,176.110001
11/27/91,19.84,115.38,376.55,175.589996
11/29/91,20.26,110.22,375.22,175.529999
12/2/91,20.18,115.39,381.4,176.369995
12/3/91,19.7,114.43,380.96,176.509995
12/4/91,19.54,114.97,380.07,177.389999
12/5/91,20.19,113.28,377.39,177.830002
12/6/91,19.04,115.49,379.1,177.210007
12/9/91,19.74,113.94,378.26,177.550003
12/10/91,19.89,113.16,377.9,176.679993
12/11/91,20.57,113.39,377.7,175.779999
12/12/91,19.08,115.94,381.55,174.699997
12/13/91,17.88,116.11,384.47,175.809998
12/16/91,17.62,116.96,384.46,177.490005
12/17/91,18.12,118.88,382.74,178.559998
12/18/91,17.78,119.46,383.48,177.660004
12/19/91,17.96,120.35,382.52,177.380005
12/20/91,17.65,122.39,387.04,176.199997
12/23/91,16.61,125.9,396.82,176.080002
12/24/91,15.67,127.03,399.33,177.919998
12/26/91,15.44,115.19,404.84,179.550003
12/27/91,15.7,114.23,406.46,182.350006
12/30/91,17.63,114.25,415.14,184.229996
12/31/91,19.31,113.55,417.09,187.830002
1/2/92,18.95,116.06,417.26,189.949997
1/3/92,18.75,116.28,419.34,189.940002
1/6/92,18.96,115.67,417.96,192.100006
1/7/92,19.23,116.35,417.4,194.429993
1/8/92,18.72,115.53,418.1,195.789993
1/9/92,18.96,116.48,417.61,198.089996
1/10/92,18.45,116.82,415.1,200.589996
1/13/92,18.01,118.2,414.34,199.289993
1/14/92,17.01,121.46,420.44,199.869995
1/15/92,17.39,121.98,420.77,202.339996
1/16/92,17.64,110.85,418.21,204.309998
1/17/92,16.32,109.7,418.86,204.410004
1/20/92,16.42,110.9,416.36,205.039993
1/21/92,17.92,110.2,412.64,204.289993
1/22/92,16.75,111.8,418.13,200.949997
1/23/92,16.46,109.78,414.96,203.729996
1/24/92,16.24,110.29,415.48,204.649994
1/27/92,16.67,110.34,414.99,205.429993
1/28/92,17.67,110.66,414.96,205.050003
1/29/92,17.62,110.73,410.34,204.970001
1/30/92,17.49,111.67,411.62,203.869995
1/31/92,17.4,110.93,408.78,204.880005
2/3/92,18.2,112.16,409.53,205.160004
2/4/92,17.96,112.85,413.85,205.869995
2/5/92,18.22,112.65,413.84,207.820007
2/6/92,18.79,113.77,413.82,209.350006
2/7/92,18.51,112.3,411.09,210.240005
2/10/92,18.56,113.68,413.77,210.080002
2/11/92,17.7,112.85,413.76,210.550003
2/12/92,17.37,112.02,417.13,210.710007
2/13/92,17.45,113.71,413.69,212.619995
2/14/92,17.03,112.84,412.48,211.529999
2/18/92,18.22,113.39,407.38,211.550003
2/19/92,17.16,110.76,408.26,210.070007
2/20/92,16.72,111.02,413.9,208.369995
2/21/92,16.87,114.47,411.43,210.889999
2/24/92,17.13,111.1,412.27,210.399994
2/25/92,16.35,110.69,410.45,208.869995
2/26/92,16.64,110.07,415.35,207.589996
2/27/92,16.51,112.67,413.86,210.220001
2/28/92,16.68,109.06,412.7,211.020004
3/2/92,16.88,108.33,412.45,211.169998
3/3/92,17.26,112.48,412.85,211.770004
3/4/92,17.89,106.06,409.33,212.089996
3/5/92,18.47,111.85,406.51,211.270004
3/6/92,19.75,110.92,404.44,208.690002
3/9/92,19.68,111.23,405.21,207.240005
3/10/92,18.68,112.8,406.89,206.869995
3/11/92,19.79,112,404.03,208.179993
3/12/92,19.72,112.35,403.89,206.869995
3/13/92,18.35,114.84,405.84,205.990005
3/16/92,18.46,118.57,406.39,206.759995
3/17/92,16.79,107.29,409.58,206.110001
3/18/92,16.69,107.72,409.15,207.229996
3/19/92,16.52,107.85,409.8,208.149994
3/20/92,16.82,109.36,411.3,208.479996
3/23/92,16.73,108.79,409.91,208.369995
3/24/92,16.32,106.79,408.88,207.75
3/25/92,16.19,106.65,407.52,206.929993
3/26/92,16.29,106.61,407.86,206.919998
3/27/92,16.02,107.27,403.5,206.259995
3/30/92,15.97,109.43,403,203.839996
3/31/92,16.18,109.86,403.69,202.940002
4/1/92,16.48,112.56,404.23,203.699997
4/2/92,17.06,110.56,400.5,202.389999
4/3/92,16.72,111.51,401.55,200.479996
4/6/92,16.72,108.93,405.59,199.039993
4/7/92,18.81,111.24,398.06,199.589996
4/8/92,20.15,110.67,394.5,196
4/9/92,17.89,115.88,400.64,193.029999
4/10/92,16.85,117.1,404.29,196.240005
4/13/92,16.99,108.36,406.08,197.100006
4/14/92,15.98,108.62,412.39,197.039993
4/15/92,15.15,111.79,416.28,199.539993
4/16/92,14.85,112.08,416.04,199.690002
4/20/92,15.93,110.88,410.18,198.440002
4/21/92,16.53,111.26,410.26,195.149994
4/22/92,15.96,109.41,409.81,194.710007
4/23/92,15.83,110.62,411.6,194.990005
4/24/92,15.71,109.72,409.02,194.720001
4/27/92,16.49,110.4,408.45,194.550003
4/28/92,16.24,110.91,409.11,193.169998
4/29/92,15.95,112.49,412.02,191.619995
4/30/92,15.53,113.24,414.95,193.600006
5/1/92,16.61,113.25,412.53,196.270004
5/4/92,16.92,114.51,416.91,196.559998
5/5/92,16.66,114.56,416.84,197.759995
5/6/92,16.81,112.81,416.79,198.470001
5/7/92,16.54,111.48,415.85,199.130005
5/8/92,15.65,113.06,416.05,198.960007
5/11/92,15.17,112.96,418.49,198.889999
5/12/92,15.68,116.52,416.29,199.679993
5/13/92,15.19,114.28,416.45,199.229996
5/14/92,15.49,112.96,413.14,199.080002
5/15/92,14.82,112.88,410.09,197.570007
5/18/92,14.62,115.72,412.81,196.949997
5/19/92,13.57,114.43,416.37,197.199997
5/20/92,13.62,114.2,415.39,197.199997
5/21/92,13.92,113.44,412.6,197.399994
5/22/92,13.73,112.23,414.02,197.289993
5/26/92,14.92,114.71,411.41,198.089996
5/27/92,13.99,110.9,412.17,196.679993
5/28/92,13.77,111.27,416.74,196.949997
5/29/92,13.86,109.47,415.35,197.429993
